timestamp,duration_s,source,group
2026-03-02 15:03:57,533,stream,G3
2026-03-02 15:04:23,563,stream,G1
2026-03-02 15:11:02,744,stream,G2
2026-03-02 15:15:01,815,stream,G2
2026-03-02 15:27:35,140,stream,G2
2026-03-02 15:33:10,525,stream,G1
2026-03-02 15:47:51,1015,stream,G1
2026-03-02 15:48:00,914,stream,G2
2026-03-02 15:53:16,527,stream,G2
2026-03-02 15:57:25,1047,stream,G2
2026-03-02 16:03:48,633,stream,G2
2026-03-02 16:04:21,605,stream,G3
2026-03-02 16:07:43,1686,stream,G3
2026-03-02 16:25:18,524,stream,G2
2026-03-02 16:29:08,1396,stream,G3
2026-03-02 16:34:33,548,stream,G3
2026-03-02 16:37:05,1160,stream,G3
2026-03-02 16:37:54,804,stream,G1
2026-03-02 16:43:03,663,stream,G2
2026-03-02 16:47:11,787,stream,G2
2026-03-02 16:52:05,755,stream,G1
2026-03-02 16:53:34,929,stream,G2
2026-03-02 17:00:01,634,stream,G1
2026-03-02 17:01:09,675,stream,G3
2026-03-02 17:01:32,1379,stream,G2
2026-03-02 17:04:30,541,stream,G2
2026-03-02 17:09:03,1675,stream,G1
2026-03-02 17:16:44,713,stream,G3
2026-03-02 17:19:44,416,stream,G2
2026-03-02 17:25:15,439,stream,G3
2026-03-02 17:40:24,1053,stream,G1
2026-03-02 17:42:27,1242,stream,G2
2026-03-02 17:42:27,657,stream,G2
2026-03-02 17:44:30,483,stream,G2
2026-03-02 17:47:42,558,stream,G3
2026-03-02 17:50:18,528,stream,G2
2026-03-02 17:57:00,791,stream,G2
2026-03-02 17:59:24,321,stream,G2
2026-03-02 18:09:12,243,stream,G3
2026-03-02 18:16:40,731,stream,G1
2026-03-02 18:16:54,843,stream,G3
2026-03-02 18:20:04,289,stream,G3
2026-03-02 18:21:23,582,stream,G1
2026-03-02 18:22:02,904,stream,G2
2026-03-02 18:22:41,633,stream,G3
2026-03-02 18:32:59,1014,stream,G2
2026-03-02 18:55:52,1333,stream,G1
2026-03-02 18:58:17,345,stream,G2
2026-03-02 19:05:50,1308,stream,G2
2026-03-02 19:07:24,1585,stream,G2
2026-03-02 19:09:15,634,stream,G1
2026-03-02 19:14:50,554,stream,G2
2026-03-02 19:16:36,1695,stream,G2
2026-03-02 19:21:47,353,stream,G1
2026-03-02 19:32:24,1041,stream,G1
2026-03-02 19:33:47,1295,stream,G3
2026-03-02 19:37:08,674,stream,G1
2026-03-02 19:41:41,859,stream,G2
2026-03-02 19:48:31,1080,stream,G2
2026-03-02 19:52:12,1343,stream,G2
2026-03-02 19:52:21,404,stream,G2
,1949,batch,G3
,1655,batch,G3
,1715,batch,G1
,536,batch,G3
,837,batch,G2
,447,batch,G3
,877,batch,G2
,1056,batch,G2
,1143,batch,G2
,924,batch,G2
,591,batch,G2
,523,batch,G3
,353,batch,G2
,342,batch,G3
,1218,batch,G3
,987,batch,G3
,601,batch,G2
,2647,batch,G1
,1308,batch,G2
,371,batch,G2
,1192,batch,G1
,831,batch,G2
,700,batch,G2
,688,batch,G3
,917,batch,G3
,1390,batch,G2
,611,batch,G2
,1615,batch,G1
,915,batch,G3
,495,batch,G2
,327,batch,G2
,794,batch,G3
,633,batch,G1
,923,batch,G3
,301,batch,G1
,1130,batch,G3
,517,batch,G3
,1809,batch,G3
,551,batch,G1
,726,batch,G2
,687,batch,G2
,430,batch,G3
,395,batch,G2
,598,batch,G1
,1122,batch,G2
,443,batch,G1
,1523,batch,G2
,1236,batch,G3
,514,batch,G1
,239,batch,G2
,821,batch,G1
,563,batch,G1
,373,batch,G1
,403,batch,G2
,1199,batch,G3
,1046,batch,G3
,927,batch,G2
,810,batch,G2
,781,batch,G2
,1691,batch,G2
,490,batch,G2
,391,batch,G2
,892,batch,G2
,552,batch,G2
,557,batch,G2
,959,batch,G2
,1284,batch,G2
,567,batch,G3
,527,batch,G3
,1280,batch,G3
,693,batch,G3
,697,batch,G2
,468,batch,G2
,1962,batch,G3
,678,batch,G2
,643,batch,G2
,750,batch,G1
,1085,batch,G2
,836,batch,G1
,870,batch,G2
,924,batch,G1
,2262,batch,G2
,737,batch,G1
,639,batch,G2
,282,batch,G3
,2338,batch,G2
,449,batch,G2
,737,batch,G2
,775,batch,G2
,597,batch,G1
,661,batch,G2
,553,batch,G3
,630,batch,G2
,538,batch,G2
,604,batch,G3
,485,batch,G2
,839,batch,G3
,590,batch,G2
,1150,batch,G1
,685,batch,G2
,1434,batch,G1
,509,batch,G3
,846,batch,G2
,415,batch,G1
,920,batch,G2
,893,batch,G2
,421,batch,G2
,775,batch,G2
,308,batch,G3
,232,batch,G2
,610,batch,G3
,454,batch,G3
,664,batch,G3
,636,batch,G3
,1092,batch,G2
,1308,batch,G2
,216,batch,G2
,717,batch,G1
,1129,batch,G3
,948,batch,G1
,941,batch,G1
,1326,batch,G2
,565,batch,G2
,1179,batch,G2
,734,batch,G3
,971,batch,G2
,346,batch,G1
,582,batch,G2
,1288,batch,G2
,784,batch,G1
,493,batch,G3
,1224,batch,G2
,306,batch,G3
,1270,batch,G2
,618,batch,G1
,770,batch,G3
,1011,batch,G2
,666,batch,G2
,295,batch,G2
,525,batch,G2
,502,batch,G2
,1432,batch,G2
,322,batch,G2
,2076,batch,G1
,687,batch,G2
,1538,batch,G1
,954,batch,G3
,1319,batch,G1
,819,batch,G3
,425,batch,G2
,831,batch,G2
,1129,batch,G3
,1505,batch,G2
,545,batch,G2
,920,batch,G2
,522,batch,G1
,728,batch,G1
,1546,batch,G2
,1540,batch,G2
,656,batch,G2
,693,batch,G2
,1460,batch,G3
,437,batch,G2
,1476,batch,G2
,1533,batch,G2
,2426,batch,G2
,452,batch,G2
,990,batch,G3
,1114,batch,G1
,421,batch,G2
,762,batch,G2
,1526,batch,G1
,730,batch,G1
,561,batch,G3
,297,batch,G3
,798,batch,G2
,642,batch,G1
,443,batch,G2
,318,batch,G3
,484,batch,G2
,571,batch,G2
,938,batch,G1
,748,batch,G2
,902,batch,G3
,402,batch,G3
,1378,batch,G2
,2035,batch,G2
,1030,batch,G2
,1434,batch,G2
,891,batch,G2
,955,batch,G3
,1738,batch,G3
,977,batch,G2
,584,batch,G2
,1134,batch,G2
,537,batch,G2
,544,batch,G2
,755,batch,G2
,1241,batch,G2
,707,batch,G1
,810,batch,G2
,613,batch,G1
,813,batch,G2
,289,batch,G2
,435,batch,G1
,715,batch,G3
,773,batch,G2
,708,batch,G1
,408,batch,G1
,1001,batch,G2
,1153,batch,G2
,1259,batch,G3
,382,batch,G2
,1287,batch,G3
,869,batch,G2
,770,batch,G1
,712,batch,G1
,627,batch,G2
,268,batch,G2
,1071,batch,G1
,408,batch,G1
,635,batch,G3
,1031,batch,G3
,1129,batch,G2
,1741,batch,G1
,687,batch,G2
,714,batch,G1
,1037,batch,G2
,1381,batch,G3
,932,batch,G3
,556,batch,G1
,1166,batch,G3
,1170,batch,G2
,951,batch,G3
,639,batch,G2
,3161,batch,G3
,1051,batch,G1
,1360,batch,G2
,1094,batch,G3
,980,batch,G2
,472,batch,G1
,852,batch,G1
,2654,batch,G2
,445,batch,G1
,777,batch,G2
,523,batch,G2
,1868,batch,G1
,1043,batch,G2
,661,batch,G3
,538,batch,G1
,546,batch,G2
,729,batch,G3
,246,batch,G1
,434,batch,G2
,615,batch,G3
,470,batch,G2
,473,batch,G2
,452,batch,G2
,994,batch,G2
,417,batch,G3
,662,batch,G3
,613,batch,G2
,615,batch,G1
,617,batch,G1
,530,batch,G2
,716,batch,G3
,552,batch,G1
,896,batch,G1
,1719,batch,G2
,426,batch,G2
,1306,batch,G2
,511,batch,G2
,530,batch,G1
,1178,batch,G2
,367,batch,G2
,1145,batch,G3
,383,batch,G3
,639,batch,G1
,1037,batch,G2
,408,batch,G1
,284,batch,G2
,915,batch,G2
,618,batch,G2
,662,batch,G2
,1348,batch,G2
,571,batch,G2
,1002,batch,G2
,968,batch,G3
,1864,batch,G2
,934,batch,G2
,396,batch,G2
,596,batch,G1
,1104,batch,G2
,594,batch,G1
,782,batch,G1
,295,batch,G2
,603,batch,G2
,1218,batch,G3
,587,batch,G3
,497,batch,G1
,820,batch,G2
,487,batch,G3
,339,batch,G1
,340,batch,G2
,1195,batch,G3
,851,batch,G1
,786,batch,G2
,495,batch,G2
,533,batch,G2
,513,batch,G2
,1482,batch,G3
,630,batch,G2
,1048,batch,G1
,978,batch,G2
,652,batch,G2
,1586,batch,G3
,1035,batch,G3
,659,batch,G3
,570,batch,G3
,1017,batch,G2
,333,batch,G3
,619,batch,G2
,385,batch,G1
,550,batch,G2
,650,batch,G2
,530,batch,G2
,642,batch,G3
,967,batch,G3
,424,batch,G2
,1095,batch,G1
,558,batch,G2
,451,batch,G2
,790,batch,G3
,671,batch,G1
,692,batch,G1
,2028,batch,G2
,512,batch,G1
,231,batch,G1
,1244,batch,G2
,826,batch,G1
,1182,batch,G1
,753,batch,G1
,382,batch,G2
,890,batch,G1
,453,batch,G3
,759,batch,G3
,1101,batch,G1
,392,batch,G2
,923,batch,G1
,803,batch,G1
